campaign_id,date,market,channel,segment_id,product_id,format,copy_style,image_style,objective,spend_sgd,impressions,clicks,conversions,revenue_sgd,trend_tag
cmp_021,2026-04-20,Singapore,Meta,seg_urban_professionals,prod_tailored_trouser,Carousel,editorial,editorial,Sales,1210,88000,2112,158,6636,boardroom-to-dinner
cmp_022,2026-04-22,Malaysia,TikTok,seg_style_enthusiasts,prod_pleated_skirt,Short video,trend-led,creator-motion,Sales,910,116000,2900,153,4896,social-trend
cmp_023,2026-04-25,Thailand,Display,seg_value_seekers,prod_resort_overshirt,Responsive banner,value-led,lifestyle,Sales,680,99000,1287,72,2376,summer-offer
cmp_024,2026-04-27,Singapore,Email,seg_modest_fashion,prod_batik_maxi,Hero module,occasion-led,editorial,Sales,540,41000,1476,148,6216,occasion-edit
cmp_025,2026-05-01,Indonesia,Meta,seg_style_enthusiasts,prod_batik_maxi,Reels cutdown,trend-led,creator-motion,Traffic,920,104000,2496,113,3842,new-pattern
cmp_026,2026-05-03,Malaysia,Display,seg_modest_fashion,prod_modest_tunic,Responsive banner,occasion-led,editorial,Sales,740,100000,1600,103,4017,modest-refresh
cmp_027,2026-05-05,Singapore,TikTok,seg_urban_professionals,prod_linen_shirt,Short video,benefit-led,lifestyle,Sales,880,94000,2256,121,4840,commute-style
cmp_028,2026-05-07,Thailand,Email,seg_value_seekers,prod_linen_shirt,Promo module,value-led,product-detail,Sales,400,35000,1120,98,3528,value-basics
cmp_029,2026-05-10,Singapore,Meta,seg_urban_professionals,prod_pleated_skirt,Carousel,editorial,editorial,Sales,1180,85000,2210,172,7396,capsule-week
cmp_030,2026-05-11,Malaysia,TikTok,seg_style_enthusiasts,prod_resort_overshirt,Short video,promo-urgency,creator-motion,Sales,860,118000,2832,136,4352,weekend-men
cmp_031,2026-05-13,Indonesia,Display,seg_value_seekers,prod_tailored_trouser,Responsive banner,value-led,product-detail,Sales,780,115000,1725,114,4104,office-sale
cmp_032,2026-05-15,Singapore,Email,seg_urban_professionals,prod_linen_shirt,Hero module,new-arrival,editorial,Sales,560,44000,1628,171,7353,new-linen
cmp_033,2026-05-17,Malaysia,Meta,seg_modest_fashion,prod_batik_maxi,Carousel,occasion-led,editorial,Sales,1150,93000,2325,186,7812,raya-edit
cmp_034,2026-05-19,Singapore,TikTok,seg_style_enthusiasts,prod_pleated_skirt,Short video,trend-led,creator-motion,Sales,940,123000,3198,169,5746,creator-style
cmp_035,2026-05-21,Thailand,Display,seg_urban_professionals,prod_tailored_trouser,Responsive banner,benefit-led,editorial,Traffic,710,104000,1560,70,2380,work-trip
cmp_036,2026-05-23,Indonesia,Email,seg_modest_fashion,prod_modest_tunic,Hero module,benefit-led,editorial,Retention,500,38000,1406,142,5822,loyalty-edit

